hour,isholiday,weekday,month,year,season,Vehicles
0,False,Sunday,11,2015,Fall,15
1,False,Sunday,11,2015,Fall,13
2,False,Sunday,11,2015,Fall,10
3,False,Sunday,11,2015,Fall,7
4,False,Sunday,11,2015,Fall,9
5,False,Sunday,11,2015,Fall,6
6,False,Sunday,11,2015,Fall,9
7,False,Sunday,11,2015,Fall,8
8,False,Sunday,11,2015,Fall,11
9,False,Sunday,11,2015,Fall,12
10,False,Sunday,11,2015,Fall,15
11,False,Sunday,11,2015,Fall,17
12,False,Sunday,11,2015,Fall,16
13,False,Sunday,11,2015,Fall,15
14,False,Sunday,11,2015,Fall,16
15,False,Sunday,11,2015,Fall,12
16,False,Sunday,11,2015,Fall,12
17,False,Sunday,11,2015,Fall,16
18,False,Sunday,11,2015,Fall,17
19,False,Sunday,11,2015,Fall,20
20,False,Sunday,11,2015,Fall,17
21,False,Sunday,11,2015,Fall,19
22,False,Sunday,11,2015,Fall,20
23,False,Sunday,11,2015,Fall,15
0,False,Monday,11,2015,Fall,14
1,False,Monday,11,2015,Fall,12
2,False,Monday,11,2015,Fall,14
3,False,Monday,11,2015,Fall,12
4,False,Monday,11,2015,Fall,12
5,False,Monday,11,2015,Fall,11
6,False,Monday,11,2015,Fall,13
7,False,Monday,11,2015,Fall,14
8,False,Monday,11,2015,Fall,12
9,False,Monday,11,2015,Fall,22
10,False,Monday,11,2015,Fall,32
11,False,Monday,11,2015,Fall,31
12,False,Monday,11,2015,Fall,35
13,False,Monday,11,2015,Fall,26
14,False,Monday,11,2015,Fall,34
15,False,Monday,11,2015,Fall,30
16,False,Monday,11,2015,Fall,27
17,False,Monday,11,2015,Fall,27
18,False,Monday,11,2015,Fall,24
19,False,Monday,11,2015,Fall,26
20,False,Monday,11,2015,Fall,29
21,False,Monday,11,2015,Fall,32
22,False,Monday,11,2015,Fall,30
23,False,Monday,11,2015,Fall,27
0,False,Tuesday,11,2015,Fall,21
1,False,Tuesday,11,2015,Fall,18
2,False,Tuesday,11,2015,Fall,19
3,False,Tuesday,11,2015,Fall,13
4,False,Tuesday,11,2015,Fall,11
5,False,Tuesday,11,2015,Fall,11
6,False,Tuesday,11,2015,Fall,11
7,False,Tuesday,11,2015,Fall,14
8,False,Tuesday,11,2015,Fall,15
9,False,Tuesday,11,2015,Fall,29
10,False,Tuesday,11,2015,Fall,33
11,False,Tuesday,11,2015,Fall,32
12,False,Tuesday,11,2015,Fall,32
13,False,Tuesday,11,2015,Fall,29
14,False,Tuesday,11,2015,Fall,27
15,False,Tuesday,11,2015,Fall,26
16,False,Tuesday,11,2015,Fall,28
17,False,Tuesday,11,2015,Fall,26
18,False,Tuesday,11,2015,Fall,25
19,False,Tuesday,11,2015,Fall,29
20,False,Tuesday,11,2015,Fall,26
21,False,Tuesday,11,2015,Fall,24
22,False,Tuesday,11,2015,Fall,25
23,False,Tuesday,11,2015,Fall,20
0,False,Wednesday,11,2015,Fall,18
1,False,Wednesday,11,2015,Fall,18
2,False,Wednesday,11,2015,Fall,13
3,False,Wednesday,11,2015,Fall,13
4,False,Wednesday,11,2015,Fall,10
5,False,Wednesday,11,2015,Fall,12
6,False,Wednesday,11,2015,Fall,13
7,False,Wednesday,11,2015,Fall,11
8,False,Wednesday,11,2015,Fall,13
9,False,Wednesday,11,2015,Fall,22
10,False,Wednesday,11,2015,Fall,26
11,False,Wednesday,11,2015,Fall,27
12,False,Wednesday,11,2015,Fall,31
13,False,Wednesday,11,2015,Fall,24
14,False,Wednesday,11,2015,Fall,23
15,False,Wednesday,11,2015,Fall,26
16,False,Wednesday,11,2015,Fall,26
17,False,Wednesday,11,2015,Fall,24
18,False,Wednesday,11,2015,Fall,23
19,False,Wednesday,11,2015,Fall,25
20,False,Wednesday,11,2015,Fall,26
21,False,Wednesday,11,2015,Fall,24
22,False,Wednesday,11,2015,Fall,26
23,False,Wednesday,11,2015,Fall,24
0,False,Thursday,11,2015,Fall,19
1,False,Thursday,11,2015,Fall,20
2,False,Thursday,11,2015,Fall,18
3,False,Thursday,11,2015,Fall,13
4,False,Thursday,11,2015,Fall,13
5,False,Thursday,11,2015,Fall,9
6,False,Thursday,11,2015,Fall,12
7,False,Thursday,11,2015,Fall,12
8,False,Thursday,11,2015,Fall,15
9,False,Thursday,11,2015,Fall,16
10,False,Thursday,11,2015,Fall,23
11,False,Thursday,11,2015,Fall,24
12,False,Thursday,11,2015,Fall,25
13,False,Thursday,11,2015,Fall,24
14,False,Thursday,11,2015,Fall,26
15,False,Thursday,11,2015,Fall,22
16,False,Thursday,11,2015,Fall,20
17,False,Thursday,11,2015,Fall,20
18,False,Thursday,11,2015,Fall,22
19,False,Thursday,11,2015,Fall,26
20,False,Thursday,11,2015,Fall,22
21,False,Thursday,11,2015,Fall,21
22,False,Thursday,11,2015,Fall,21
23,False,Thursday,11,2015,Fall,21
0,False,Friday,11,2015,Fall,16
1,False,Friday,11,2015,Fall,18
2,False,Friday,11,2015,Fall,19
3,False,Friday,11,2015,Fall,14
4,False,Friday,11,2015,Fall,12
5,False,Friday,11,2015,Fall,13
6,False,Friday,11,2015,Fall,14
7,False,Friday,11,2015,Fall,14
8,False,Friday,11,2015,Fall,13
9,False,Friday,11,2015,Fall,20
10,False,Friday,11,2015,Fall,22
11,False,Friday,11,2015,Fall,26
12,False,Friday,11,2015,Fall,26
13,False,Friday,11,2015,Fall,21
14,False,Friday,11,2015,Fall,23
15,False,Friday,11,2015,Fall,23
16,False,Friday,11,2015,Fall,19
17,False,Friday,11,2015,Fall,19
18,False,Friday,11,2015,Fall,20
19,False,Friday,11,2015,Fall,24
20,False,Friday,11,2015,Fall,18
21,False,Friday,11,2015,Fall,19
22,False,Friday,11,2015,Fall,16
23,False,Friday,11,2015,Fall,17
0,False,Saturday,11,2015,Fall,16
1,False,Saturday,11,2015,Fall,16
2,False,Saturday,11,2015,Fall,10
3,False,Saturday,11,2015,Fall,9
4,False,Saturday,11,2015,Fall,8
5,False,Saturday,11,2015,Fall,7
6,False,Saturday,11,2015,Fall,9
7,False,Saturday,11,2015,Fall,8
8,False,Saturday,11,2015,Fall,12
9,False,Saturday,11,2015,Fall,13
10,False,Saturday,11,2015,Fall,17
11,False,Saturday,11,2015,Fall,14
12,False,Saturday,11,2015,Fall,14
13,False,Saturday,11,2015,Fall,14
14,False,Saturday,11,2015,Fall,14
15,False,Saturday,11,2015,Fall,11
16,False,Saturday,11,2015,Fall,15
17,False,Saturday,11,2015,Fall,13
18,False,Saturday,11,2015,Fall,12
19,False,Saturday,11,2015,Fall,17
20,False,Saturday,11,2015,Fall,18
21,False,Saturday,11,2015,Fall,17
22,False,Saturday,11,2015,Fall,16
23,False,Saturday,11,2015,Fall,15
0,False,Sunday,11,2015,Fall,13
1,False,Sunday,11,2015,Fall,16
2,False,Sunday,11,2015,Fall,11
3,False,Sunday,11,2015,Fall,8
4,False,Sunday,11,2015,Fall,10
5,False,Sunday,11,2015,Fall,10
6,False,Sunday,11,2015,Fall,10
7,False,Sunday,11,2015,Fall,9
8,False,Sunday,11,2015,Fall,11
9,False,Sunday,11,2015,Fall,12
10,False,Sunday,11,2015,Fall,18
11,False,Sunday,11,2015,Fall,14
12,False,Sunday,11,2015,Fall,17
13,False,Sunday,11,2015,Fall,14
14,False,Sunday,11,2015,Fall,14
15,False,Sunday,11,2015,Fall,14
16,False,Sunday,11,2015,Fall,12
17,False,Sunday,11,2015,Fall,14
18,False,Sunday,11,2015,Fall,18
19,False,Sunday,11,2015,Fall,13
20,False,Sunday,11,2015,Fall,16
21,False,Sunday,11,2015,Fall,18
22,False,Sunday,11,2015,Fall,14
23,False,Sunday,11,2015,Fall,14
0,False,Monday,11,2015,Fall,13
1,False,Monday,11,2015,Fall,15
2,False,Monday,11,2015,Fall,11
3,False,Monday,11,2015,Fall,10
4,False,Monday,11,2015,Fall,9
5,False,Monday,11,2015,Fall,8
6,False,Monday,11,2015,Fall,8
7,False,Monday,11,2015,Fall,10
8,False,Monday,11,2015,Fall,11
9,False,Monday,11,2015,Fall,17
10,False,Monday,11,2015,Fall,19
11,False,Monday,11,2015,Fall,22
12,False,Monday,11,2015,Fall,23
13,False,Monday,11,2015,Fall,23
14,False,Monday,11,2015,Fall,24
15,False,Monday,11,2015,Fall,24
16,False,Monday,11,2015,Fall,19
17,False,Monday,11,2015,Fall,19
18,False,Monday,11,2015,Fall,20
19,False,Monday,11,2015,Fall,31
20,False,Monday,11,2015,Fall,25
21,False,Monday,11,2015,Fall,35
22,False,Monday,11,2015,Fall,21
23,False,Monday,11,2015,Fall,24
0,False,Tuesday,11,2015,Fall,19
1,False,Tuesday,11,2015,Fall,19
2,False,Tuesday,11,2015,Fall,18
3,False,Tuesday,11,2015,Fall,17
4,False,Tuesday,11,2015,Fall,12
5,False,Tuesday,11,2015,Fall,10
6,False,Tuesday,11,2015,Fall,14
7,False,Tuesday,11,2015,Fall,15
8,False,Tuesday,11,2015,Fall,14
9,False,Tuesday,11,2015,Fall,34
10,False,Tuesday,11,2015,Fall,40
11,False,Tuesday,11,2015,Fall,38
12,False,Tuesday,11,2015,Fall,36
13,False,Tuesday,11,2015,Fall,27
14,False,Tuesday,11,2015,Fall,48
15,False,Tuesday,11,2015,Fall,43
16,False,Tuesday,11,2015,Fall,41
17,False,Tuesday,11,2015,Fall,35
18,False,Tuesday,11,2015,Fall,40
19,False,Tuesday,11,2015,Fall,40
20,False,Tuesday,11,2015,Fall,40
21,False,Tuesday,11,2015,Fall,36
22,False,Tuesday,11,2015,Fall,37
23,False,Tuesday,11,2015,Fall,35
0,True,Wednesday,11,2015,Fall,28
1,True,Wednesday,11,2015,Fall,25
2,True,Wednesday,11,2015,Fall,19
3,True,Wednesday,11,2015,Fall,21
4,True,Wednesday,11,2015,Fall,20
5,True,Wednesday,11,2015,Fall,15
6,True,Wednesday,11,2015,Fall,17
7,True,Wednesday,11,2015,Fall,14
8,True,Wednesday,11,2015,Fall,19
9,True,Wednesday,11,2015,Fall,22
10,True,Wednesday,11,2015,Fall,30
11,True,Wednesday,11,2015,Fall,26
12,True,Wednesday,11,2015,Fall,26
13,True,Wednesday,11,2015,Fall,23
14,True,Wednesday,11,2015,Fall,23
15,True,Wednesday,11,2015,Fall,24
16,True,Wednesday,11,2015,Fall,22
17,True,Wednesday,11,2015,Fall,24
18,True,Wednesday,11,2015,Fall,26
19,True,Wednesday,11,2015,Fall,27
20,True,Wednesday,11,2015,Fall,22
21,True,Wednesday,11,2015,Fall,23
22,True,Wednesday,11,2015,Fall,22
23,True,Wednesday,11,2015,Fall,22
0,False,Thursday,11,2015,Fall,22
1,False,Thursday,11,2015,Fall,17
2,False,Thursday,11,2015,Fall,15
3,False,Thursday,11,2015,Fall,12
4,False,Thursday,11,2015,Fall,13
5,False,Thursday,11,2015,Fall,9
6,False,Thursday,11,2015,Fall,14
7,False,Thursday,11,2015,Fall,13
8,False,Thursday,11,2015,Fall,15
9,False,Thursday,11,2015,Fall,27
10,False,Thursday,11,2015,Fall,39
11,False,Thursday,11,2015,Fall,40
12,False,Thursday,11,2015,Fall,36
13,False,Thursday,11,2015,Fall,34
14,False,Thursday,11,2015,Fall,33
15,False,Thursday,11,2015,Fall,28
16,False,Thursday,11,2015,Fall,30
17,False,Thursday,11,2015,Fall,26
18,False,Thursday,11,2015,Fall,30
19,False,Thursday,11,2015,Fall,35
20,False,Thursday,11,2015,Fall,38
21,False,Thursday,11,2015,Fall,34
22,False,Thursday,11,2015,Fall,30
23,False,Thursday,11,2015,Fall,27
0,False,Friday,11,2015,Fall,24
1,False,Friday,11,2015,Fall,21
2,False,Friday,11,2015,Fall,16
3,False,Friday,11,2015,Fall,16
4,False,Friday,11,2015,Fall,13
5,False,Friday,11,2015,Fall,11
6,False,Friday,11,2015,Fall,13
7,False,Friday,11,2015,Fall,15
8,False,Friday,11,2015,Fall,17
9,False,Friday,11,2015,Fall,18
10,False,Friday,11,2015,Fall,24
11,False,Friday,11,2015,Fall,41
12,False,Friday,11,2015,Fall,29
13,False,Friday,11,2015,Fall,25
14,False,Friday,11,2015,Fall,25
15,False,Friday,11,2015,Fall,26
16,False,Friday,11,2015,Fall,25
17,False,Friday,11,2015,Fall,24
18,False,Friday,11,2015,Fall,26
19,False,Friday,11,2015,Fall,24
20,False,Friday,11,2015,Fall,28
21,False,Friday,11,2015,Fall,22
22,False,Friday,11,2015,Fall,23
23,False,Friday,11,2015,Fall,18
0,False,Saturday,11,2015,Fall,21
1,False,Saturday,11,2015,Fall,20
2,False,Saturday,11,2015,Fall,15
3,False,Saturday,11,2015,Fall,13
4,False,Saturday,11,2015,Fall,10
5,False,Saturday,11,2015,Fall,10
6,False,Saturday,11,2015,Fall,12
7,False,Saturday,11,2015,Fall,9
8,False,Saturday,11,2015,Fall,11
9,False,Saturday,11,2015,Fall,15
10,False,Saturday,11,2015,Fall,16
11,False,Saturday,11,2015,Fall,16
12,False,Saturday,11,2015,Fall,12
13,False,Saturday,11,2015,Fall,11
14,False,Saturday,11,2015,Fall,14
15,False,Saturday,11,2015,Fall,16
16,False,Saturday,11,2015,Fall,18
17,False,Saturday,11,2015,Fall,13
18,False,Saturday,11,2015,Fall,17
19,False,Saturday,11,2015,Fall,15
20,False,Saturday,11,2015,Fall,19
21,False,Saturday,11,2015,Fall,15
22,False,Saturday,11,2015,Fall,19
23,False,Saturday,11,2015,Fall,15
0,False,Sunday,11,2015,Fall,15
1,False,Sunday,11,2015,Fall,13
2,False,Sunday,11,2015,Fall,14
3,False,Sunday,11,2015,Fall,10
4,False,Sunday,11,2015,Fall,8
5,False,Sunday,11,2015,Fall,9
6,False,Sunday,11,2015,Fall,9
7,False,Sunday,11,2015,Fall,9
8,False,Sunday,11,2015,Fall,9
9,False,Sunday,11,2015,Fall,16
10,False,Sunday,11,2015,Fall,18
11,False,Sunday,11,2015,Fall,18
12,False,Sunday,11,2015,Fall,17
13,False,Sunday,11,2015,Fall,18
14,False,Sunday,11,2015,Fall,14
